ID,price,numPhotos,floor,size,exterior,rooms,bathrooms,hasVideo,status,hasLift,priceByArea,hasPlan,has3DTour,has360,topPlus,suggestedTexts_subtitle,barrio_Chueca-Justicia,barrio_Huertas-Cortes,barrio_Lavapiés-Embajadores,barrio_Malasaña-Universidad,barrio_Palacio,barrio_Sol,tipo_flat,tipo_studio,tipo_penthouse,tipo_duplex
107108394,176000.0,24,0.0,34.0,0,1,1,0,1,0,5176.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,1,0,0,0
106561667,850000.0,38,0.5,110.0,1,3,3,0,1,1,7727.0,0,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
107031385,1190000.0,26,0.5,190.0,1,3,3,0,1,1,6263.0,0,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
105939302,1224000.0,13,0.0,153.0,1,4,4,0,1,1,8000.0,0,0,0,0,"Chueca-Justicia, Madrid",1,0,0,0,0,0,1,0,0,0
107452388,620000.0,54,4.0,70.0,1,3,1,1,1,1,8857.0,0,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
107020883,579000.0,18,1.0,104.0,1,2,2,0,1,1,5567.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,1,0,0,0
107307886,795000.0,7,5.0,120.0,1,4,3,0,1,1,6625.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,1,0,0,0
107130146,110000.0,3,2.0,48.0,0,2,1,0,0,1,2292.0,1,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,1,0,0,0
104825503,575500.0,31,3.0,80.0,1,2,1,0,1,1,7194.0,0,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
105831355,299900.0,22,5.0,86.0,1,2,2,0,1,1,3487.0,0,0,0,0,"Palacio, Madrid",0,0,0,0,1,0,0,0,1,0
104350173,1180000.0,12,2.0,165.0,1,2,2,0,1,1,7152.0,0,0,0,0,"Chueca-Justicia, Madrid",1,0,0,0,0,0,1,0,0,0
107251985,599999.0,26,2.0,78.0,1,2,1,0,1,1,7692.0,0,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
