ID,price,terraza,numPhotos,floor,size,exterior,rooms,bathrooms,hasVideo,status,hasLift,hasPlan,has3DTour,has360,topPlus,barrio_Chueca-Justicia,barrio_Huertas-Cortes,barrio_Lavapiés-Embajadores,barrio_Malasaña-Universidad,barrio_Palacio,barrio_Sol,tipo_flat,tipo_studio,tipo_penthouse,tipo_duplex
107365174,1195000.0,0,53,2.0,115.0,1,3,2,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
95798532,779000.0,0,51,3.0,176.0,1,3,3,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
107209769,875000.0,0,22,0.5,89.0,1,2,2,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
106557224,1870000.0,1,37,6.0,146.0,1,4,2,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
106310003,145000.0,0,21,1.0,19.0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
101932319,622000.0,0,52,1.0,159.0,1,2,2,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
106477139,199000.0,0,19,0.0,30.0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
105413336,329000.0,0,47,4.0,72.0,1,2,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
107005690,1400000.0,0,35,4.0,170.0,1,2,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
107100356,720000.0,0,37,3.0,121.0,1,5,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
104641472,548000.0,0,38,4.0,80.0,0,2,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
96583874,240000.0,0,42,5.0,23.0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
105503320,1260000.0,0,44,1.0,149.0,1,3,2,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
105965493,1700000.0,1,35,5.0,135.0,1,2,2,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
103858202,2250000.0,1,72,5.0,173.0,1,2,3,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
107087253,650000.0,0,40,4.0,126.0,1,3,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
107271855,367000.0,0,36,0.0,49.0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
105501261,1395000.0,0,46,2.0,221.0,1,4,4,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
107005745,1390000.0,0,34,3.0,220.0,1,4,3,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
107486647,1900000.0,0,27,2.0,160.0,1,3,3,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
106956191,1740000.0,0,41,4.0,214.0,1,2,2,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
107326560,1100000.0,0,29,1.0,129.0,1,2,2,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
107168617,405000.0,1,23,5.0,55.0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
107173357,799000.0,0,26,4.0,79.0,1,2,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
107228557,1150000.0,1,22,5.0,108.0,1,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
