ID,terraza,numPhotos,floor,size,exterior,rooms,bathrooms,hasVideo,status,hasLift,hasPlan,has3DTour,has360,topPlus,barrio_Chueca-Justicia,barrio_Huertas-Cortes,barrio_Lavapiés-Embajadores,barrio_Malasaña-Universidad,barrio_Palacio,barrio_Sol,tipo_flat,tipo_studio,tipo_penthouse,tipo_duplex,priceLog
107355812,0,0.6352990620690318,3.0,0.3754635034142785,1,0.25,0.25,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,13.017002861746503
107556285,0,0.7544146745896504,0.0,0.13255502249596463,0,0.25,0.25,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12.154252896800378
106370629,0,0.760855819956617,5.0,0.5368806578750988,1,0.3962406251802891,0.25,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,13.9108207377686
104265440,1,0.6352990620690318,10.0,0.46494675619421233,1,0.3962406251802891,0.3962406251802891,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,13.863347887378435
107558322,0,0.784854123933547,4.0,0.6299805786133662,1,0.5,0.3962406251802891,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,13.652991628466498
106355015,0,0.7671102389198118,3.0,0.5257180023969968,1,0.5,0.3962406251802891,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,13.58609739363647
105356182,0,0.7791001203769448,2.0,0.6571298876900235,1,0.5804820237218405,0.5804820237218405,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,13.955272500339433
106688637,0,0.7477753093225762,2.0,0.597501778690177,1,0.3962406251802891,0.3962406251802891,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13.38472764187182
106413526,0,0.8973303711870914,5.0,0.49869446683863317,0,0.3962406251802891,0.3962406251802891,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13.38472764187182
107558314,0,0.5694092009084916,1.0,0.31242098034428967,1,0.25,0.25,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12.604848765487542
107416172,0,0.7791001203769448,4.0,0.6299805786133662,1,0.5,0.3962406251802891,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,13.652991628466498
107244228,0,0.6669305716058764,3.0,0.30585121866678333,1,0.0,0.25,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,12.793859310432293
105642431,1,0.6669305716058764,10.0,0.6337688462641126,1,0.3962406251802891,0.3962406251802891,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,14.946912669455374
107298591,0,0.6568933038922656,5.0,0.5841915932274592,1,0.5,0.3962406251802891,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,13.493926933836812
107432978,0,0.7904586558207897,0.0,0.6101624225736632,1,0.5,0.3962406251802891,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12.89921982609012
105183247,0,0.5982202474580609,4.0,0.5887046065516927,1,0.5,0.5,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13.663524200966393
107203148,0,0.7904586558207897,2.0,0.5772714037783816,0,0.5804820237218405,0.3962406251802891,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,13.457406021215947
107567535,0,0.7189642627730068,2.0,0.4576366467237406,1,0.25,0.25,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,12.886641043883259
106962320,0,0.4968111617403508,5.0,0.5449484079579895,1,0.5,0.3962406251802891,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,13.493926933836812
106634448,0,0.7791001203769448,2.0,0.5996552493514206,1,0.5804820237218405,0.3962406251802891,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13.641157170819497
107512706,0,0.6568933038922656,4.0,0.4613174421321501,0,0.5,0.25,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,13.337474757021274
107473347,0,0.8525296147015309,3.0,0.4890228482941682,1,0.3962406251802891,0.25,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,13.208541073645382
106421553,1,0.23703916484828932,0.0,0.5422869310329116,1,0.3962406251802891,0.3962406251802891,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13.683121369918528
106640888,0,0.5982202474580609,2.0,0.643004402017875,1,0.646240625180289,0.25,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,12.608198852372823
107557140,0,0.41985413904397634,4.0,0.7313510269384077,1,0.5,0.3962406251802891,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,14.01436141670944
102616042,0,0.6352990620690318,2.0,0.6162683919464492,1,0.5,0.5804820237218405,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,13.863347887378435
106295070,0,0.7409251356888623,2.0,0.4462702285925203,1,0.25,0.25,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,12.959844447906553
105958529,1,0.7791001203769448,4.0,0.595330287144492,1,0.5804820237218405,0.25,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,13.251635713108469
106323970,0,0.784854123933547,4.0,0.6571298876900235,0,0.5,0.3962406251802891,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,14.077874822431765
107167534,0,0.5982202474580609,1.0,0.6571298876900235,1,0.5804820237218405,0.3962406251802891,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13.753635154246187
101387856,0,0.7671102389198118,0.0,0.7012709790955053,1,0.7924812503605781,0.5,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,13.579788224443204
107287553,0,0.8606725564093832,1.0,0.539597873544975,0,0.3962406251802891,0.25,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,13.422467969854667
103940608,0,0.6568933038922656,4.0,0.31882850899030823,0,0.25,0.25,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,12.367340793126296
107449357,0,0.9427623197739669,3.0,0.5110535514488869,1,0.3962406251802891,0.25,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,13.11835535600679
105497637,0,0.7671102389198118,2.0,0.597501778690177,0,0.3962406251802891,0.3962406251802891,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,13.592367006650065
102980518,1,0.73385032658864,5.0,0.5475828643462163,0,0.3962406251802891,0.3962406251802891,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,13.955272500339433
106173523,0,0.6857043504418351,-0.5,0.5701615966917747,1,0.3962406251802891,0.3962406251802891,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,13.527828485512494
107320613,1,0.8064483657567809,2.0,0.5841915932274592,1,0.3962406251802891,0.25,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,13.751505227988362
107523673,0,0.8260766500505894,4.0,0.2850807983458873,1,0.25,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,12.341477282536376
107108871,0,0.5361492885773198,3.0,0.5887046065516927,1,0.3962406251802891,0.25,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13.487006490992238
107091158,0,0.6352990620690318,2.0,0.6318816253972995,1,0.5,0.5,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,14.278615445518852
103351709,0,0.7409251356888623,2.0,0.6375026045720654,1,0.5,0.5,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,13.927945987294063
107419740,0,0.6765215881860741,1.0,0.34868804791822516,0,0.25,0.25,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,12.594730635321957
107367495,0,0.7189642627730068,1.0,0.27777068887541534,1,0.0,0.25,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,12.382124589310534
