ID,priceLog,terraza,numPhotos,floor,size,exterior,rooms,bathrooms,hasVideo,status,hasLift,hasPlan,has3DTour,has360,topPlus,barrio_Chueca-Justicia,barrio_Huertas-Cortes,barrio_Lavapiés-Embajadores,barrio_Malasaña-Universidad,barrio_Palacio,barrio_Sol,tipo_flat,tipo_studio,tipo_penthouse,tipo_duplex
104546685,13.180632285528304,1,0.694512199751671,0.0,0.42903146822764526,0,0.2890648263178878,0.0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
106508066,14.508657738524219,0,0.784854123933547,1.0,0.9638416367579925,1,0.9163138199826525,0.40659800924006667,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0
106748350,14.506154608306101,0,0.4486651855935457,2.0,0.7370223229312658,1,0.6711877414712396,0.23784458827331328,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
106627931,12.894207284266574,0,0.8012490214930152,5.0,0.2748004271278084,0,0.2890648263178878,0.0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0
105432541,14.75160391713461,0,0.7265356482629434,1.0,0.8320760848285242,1,0.6711877414712396,0.23784458827331328,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
101538965,13.578521599828012,0,0.7189642627730068,1.0,0.564682805474779,1,0.45815690999132624,0.23784458827331328,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
106396893,13.927945987294063,0,0.5694092009084916,2.0,0.6425243280737476,1,0.5781296526357756,0.40659800924006667,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
105993354,13.805460222110773,0,0.7029745528370157,1.0,0.6538344442208284,1,0.45815690999132624,0.23784458827331328,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
107533138,13.591116224748411,0,0.5173755097413612,4.0,0.4537867018770132,1,0.45815690999132624,0.0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
92548918,13.38472764187182,0,0.7409251356888623,4.0,0.4870440978833972,1,0.45815690999132624,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
106627740,12.524526376648708,1,0.6857043504418351,0.0,0.38178738793961675,0,0.2890648263178878,0.0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
106002851,13.102160670086809,0,0.760855819956617,3.0,0.5005784651244014,1,0.45815690999132624,0.0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
106253141,14.310206799800381,1,0.6352990620690318,2.0,0.7101176216530292,1,0.6711877414712396,0.5374933317397155,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
106054285,13.415032991367148,0,0.4968111617403508,0.0,0.46154791762889813,1,0.45815690999132624,0.23784458827331328,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
107145119,13.709038313453757,0,0.9227435152901243,1.0,0.720351791887414,1,0.8671944789536634,0.40659800924006667,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
106994186,12.560244459250788,0,0.6568933038922656,0.0,0.3968693391587792,1,0.2890648263178878,0.0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0
106700910,13.567049198665774,0,0.8723382269173212,1.0,0.5869943133663382,1,0.2890648263178878,0.23784458827331328,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
106693695,13.7683141231333,0,0.7791001203769448,1.0,0.5541269053961038,1,0.45815690999132624,0.23784458827331328,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0
106280474,13.442996549995796,0,0.8064483657567809,4.0,0.5374563743522518,1,0.5781296526357756,0.0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
107318280,14.026581528044215,0,0.694512199751671,0.0,0.6097551672327259,1,0.45815690999132624,0.23784458827331328,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
107359309,12.429216196844383,0,0.23703916484828932,0.0,0.2748004271278084,0,0.2890648263178878,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
99673998,14.715671907908545,1,0.5842952647241249,5.0,0.6994704355288563,1,0.5781296526357756,0.23784458827331328,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
105599979,11.84939770159144,0,0.6669305716058764,-1.0,0.42903146822764526,0,0.2890648263178878,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
106612920,13.458835614025542,0,0.7029745528370157,1.0,0.5620831557580059,1,0.45815690999132624,0.23784458827331328,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
105639958,14.256986103595471,0,0.8164856334703916,1.0,0.768698476905759,1,0.7472217363092141,0.23784458827331328,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0
106588391,13.567049198665774,0,0.8440672616161862,0.0,0.6204393114509268,1,0.45815690999132624,0.23784458827331328,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
106186914,12.524526376648708,0,0.646366223604866,1.0,0.3657908350703245,0,0.45815690999132624,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
105782692,12.506177237980511,0,0.4968111617403508,2.0,0.40646538982730984,0,0.5781296526357756,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
106238704,13.480037821676145,1,0.8064483657567809,3.0,0.5345726045349362,1,0.45815690999132624,0.23784458827331328,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
105768903,13.773646353865574,0,0.8064483657567809,1.0,0.6538344442208284,1,0.45815690999132624,0.23784458827331328,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
107366082,12.594730635321957,0,0.5534194909725004,1.0,0.33676574455027963,0,0.2890648263178878,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
107175088,13.617059619240436,0,0.3865942267128045,4.0,0.5568057336016567,1,0.45815690999132624,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
101498721,13.764217263576723,0,0.7265356482629434,2.0,0.5568057336016567,0,0.45815690999132624,0.23784458827331328,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
107450092,12.429216196844383,0,0.8352594123063504,5.0,0.35456095681708955,1,0.2890648263178878,0.0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
